"state","date","Negative","Positive","Inconclusive","positiveIncrease","negativeIncrease"
"AK",2020-06-24,3944,45,0,14,0
"AK",2020-06-25,3758,49,2,24,0
"AK",2020-06-26,4005,59,1,18,0
"AK",2020-06-27,2118,20,0,19,0
"AK",2020-06-28,2442,40,1,29,0
"AK",2020-06-29,4914,95,1,21,0
"AK",2020-06-30,4411,69,2,36,0
"AK",2020-07-01,5406,82,2,38,0
"AK",2020-07-02,3419,84,2,38,0
"AK",2020-07-03,3823,45,0,45,0
"AK",2020-07-04,2321,18,0,49,0
"AK",2020-07-05,1085,9,2,27,0
"AK",2020-07-06,2994,77,0,27,0
"AK",2020-07-07,4317,82,0,18,0
"AK",2020-07-08,7034,93,1,40,0
"AK",2020-07-09,5194,164,1,47,0
"AK",2020-07-10,5108,139,2,50,0
"AK",2020-07-11,4190,109,1,63,0
"AK",2020-07-12,3236,50,7,92,0
"AK",2020-07-13,4162,87,2,59,0
"AK",2020-07-14,4757,93,0,43,0
"AK",2020-07-15,5228,86,1,51,0
"AK",2020-07-16,4490,105,1,64,0
"AK",2020-07-17,6023,107,2,42,0
"AK",2020-07-18,5500,291,1,62,0
"AK",2020-07-19,3969,136,0,83,0
"AK",2020-07-20,5543,140,4,73,0
"AK",2020-07-21,5440,270,12,90,0
"AK",2020-07-22,6496,216,3,94,0
"AK",2020-07-23,5909,392,1,64,0
"AK",2020-07-24,5821,202,4,57,0
"AK",2020-07-25,4305,196,2,88,0
"AK",2020-07-26,3977,116,1,185,0
"AK",2020-07-27,5062,154,8,94,0
"AK",2020-07-28,6178,242,11,108,0
"AK",2020-07-29,5459,273,9,68,0
"AK",2020-07-30,3998,165,12,84,0
"AK",2020-07-31,5423,172,9,106,0
"AK",2020-08-01,4001,152,20,144,0
"AK",2020-08-02,3021,44,8,136,0
"AK",2020-08-03,5027,138,5,58,0
"AK",2020-08-04,5453,163,13,61,0
"AK",2020-08-05,4743,194,16,55,0
"AK",2020-08-06,5706,177,8,40,0
"AK",2020-08-07,6340,139,17,55,0
"AK",2020-08-08,4376,94,10,79,0
"AK",2020-08-09,3485,95,8,97,0
"AK",2020-08-10,7440,224,0,68,0
"AK",2020-08-11,6269,166,8,49,0
"AK",2020-08-12,7551,215,22,61,0
"AK",2020-08-13,7262,151,32,82,0
"AK",2020-08-14,6532,171,6,100,0
"AK",2020-08-15,4992,131,4,84,0
"AK",2020-08-16,3704,81,5,101,0
"AK",2020-08-17,4393,126,1,50,0
"AK",2020-08-18,6197,145,19,66,0
"AK",2020-08-19,6844,162,9,73,0
"AK",2020-08-20,5798,109,4,83,0
"AK",2020-08-21,6550,162,6,69,0
"AK",2020-08-22,5036,154,0,88,0
"AK",2020-08-23,3653,66,1,66,0
"AK",2020-08-24,4695,109,0,71,0
"AK",2020-08-25,7125,193,0,33,0
"AK",2020-08-26,7343,238,3,52,0
"AK",2020-08-27,5984,232,2,84,0
"AK",2020-08-28,7187,197,0,116,0
"AK",2020-08-29,5309,135,1,93,0
"AK",2020-08-30,3563,51,1,43,0
"AK",2020-08-31,5249,201,1,36,0
"AK",2020-09-01,6802,132,0,35,0
"AK",2020-09-02,6865,247,1,66,0
"AK",2020-09-03,5032,160,4,88,0
"AK",2020-09-04,5666,187,0,119,0
"AK",2020-09-05,4779,103,0,87,0
"AK",2020-09-06,3577,78,0,95,0
"AK",2020-09-07,2812,91,0,34,0
"AK",2020-09-08,6448,195,1,33,0
"AK",2020-09-09,5147,134,0,65,0
"AK",2020-09-10,6451,172,0,114,0
"AK",2020-09-11,5906,205,2,89,0
"AK",2020-09-12,3820,82,0,103,0
"AK",2020-09-13,2474,35,0,61,0
"AK",2020-09-14,4694,172,0,75,0
"AK",2020-09-15,6350,165,0,43,0
"AK",2020-09-16,7039,174,0,50,0
"AK",2020-09-17,6629,188,1,108,0
"AK",2020-09-18,5930,195,2,107,0
"AK",2020-09-19,4092,175,0,94,0
"AK",2020-09-20,2246,62,0,108,0
"AK",2020-09-21,4419,132,2,70,0
"AK",2020-09-22,4445,181,1,57,0
"AK",2020-09-23,7140,223,3,76,0
"AK",2020-09-24,5278,257,2,131,0
"AK",2020-09-25,5173,193,1,126,0
"AK",2020-09-26,3756,143,0,119,0
"AK",2020-09-27,2489,81,2,110,0
"AK",2020-09-28,6059,238,0,114,0
"AK",2020-09-29,5190,280,1,122,0
"AK",2020-09-30,6569,357,0,104,0
"AK",2020-10-01,6613,318,0,137,0
"AK",2020-10-02,5989,482,0,141,0
"AK",2020-10-03,3888,333,0,139,0
"AK",2020-10-04,3079,130,1,141,0
"AK",2020-10-05,7262,335,3,196,0
"AK",2020-10-06,4637,304,1,147,0
"AK",2020-10-07,7170,489,1,121,0
"AK",2020-10-08,6647,466,0,134,0
"AK",2020-10-09,7716,365,0,187,0
"AK",2020-10-10,3731,266,6,230,0
"AK",2020-10-11,2940,237,0,250,0
"AK",2020-10-12,5924,280,5,191,0
"AK",2020-10-13,7679,573,1,156,0
"AK",2020-10-14,9114,516,1,155,0
"AK",2020-10-15,9078,659,0,166,0
"AK",2020-10-16,6629,499,2,221,0
"AK",2020-10-17,6248,615,0,210,0
"AK",2020-10-18,2959,309,4,210,0
"AK",2020-10-19,6396,620,0,204,0
"AK",2020-10-20,10741,1176,0,231,0
"AK",2020-10-21,9561,1059,4,224,0
"AK",2020-10-22,8759,974,0,239,0
"AK",2020-10-23,8050,755,2,248,0
"AK",2020-10-24,4792,563,3,356,0
"AK",2020-10-25,3318,487,0,518,0
"AK",2020-10-26,7981,721,0,350,0
"AK",2020-10-27,8824,851,2,388,0
"AK",2020-10-28,7656,909,6,352,0
"AK",2020-10-29,7917,962,3,350,0
"AK",2020-10-30,7358,1057,4,377,0
"AK",2020-10-31,4686,752,1,454,0
"AK",2020-11-01,5119,506,1,351,0
"AK",2020-11-02,7897,829,26,344,0
"AK",2020-11-03,8930,955,25,383,0
"AK",2020-11-04,9850,1185,71,408,0
"AK",2020-11-05,9858,1418,41,313,0
"AK",2020-11-06,10572,1580,14,507,0
"AK",2020-11-07,5936,1264,6,603,0
"AK",2020-11-08,4804,574,10,511,0
"AK",2020-11-09,8970,1532,31,464,0
"AK",2020-11-10,8219,1158,11,538,0
"AK",2020-11-11,9883,972,6,487,0
"AK",2020-11-12,9416,957,5,481,0
"AK",2020-11-13,9113,1403,8,584,0
"AK",2020-11-14,6419,879,15,734,0
"AK",2020-11-15,4074,606,3,642,0
"AK",2020-11-16,10285,2180,5,578,0
"AK",2020-11-17,9942,1483,17,634,0
"AK",2020-11-18,11199,1307,6,545,0
"AK",2020-11-19,10481,1017,89,490,0
"AK",2020-11-20,12708,935,6,460,0
"AK",2020-11-21,8075,936,2,675,0
"AK",2020-11-22,5380,827,7,543,0
"AK",2020-11-23,12744,1680,15,498,0
"AK",2020-11-24,11295,1214,238,584,0
"AK",2020-11-25,14531,1864,28,670,0
"AK",2020-11-26,5904,666,28,553,0
"AK",2020-11-27,7712,725,8,662,0
"AK",2020-11-28,6889,772,5,650,0
"AK",2020-11-29,6592,659,2,612,0
"AK",2020-11-30,9498,1111,13,507,0
"AK",2020-12-01,12194,1161,20,511,0
"AK",2020-12-02,12693,1489,9,697,0
"AK",2020-12-03,10252,969,16,760,0
"AK",2020-12-04,9167,988,27,750,0
"AK",2020-12-05,6244,512,7,922,0
"AK",2020-12-06,4418,416,7,757,0
"AK",2020-12-07,10104,773,10,476,0
"AK",2020-12-08,11801,906,11,562,0
"AK",2020-12-09,10601,806,11,584,0
"AK",2020-12-10,9888,835,4,620,0
"AK",2020-12-11,8860,891,3,622,0
"AK",2020-12-12,6709,466,0,517,0
"AK",2020-12-13,3304,229,2,637,0
"AK",2020-12-14,9958,544,9,422,0
"AK",2020-12-15,9804,507,0,278,0
"AK",2020-12-16,10423,510,9,603,0
"AK",2020-12-17,8503,393,9,377,0
"AK",2020-12-18,9607,527,5,487,0
"AK",2020-12-19,6521,255,4,330,0
"AK",2020-12-20,2850,125,1,178,0
"AK",2020-12-21,8218,390,2,150,0
"AK",2020-12-22,6259,349,2,438,0
"AK",2020-12-23,7614,407,5,360,0
"AK",2020-12-24,6069,364,2,268,0
"AK",2020-12-25,2951,148,0,0,0
"AK",2020-12-26,4018,184,1,361,0
"AK",2020-12-27,4320,241,11,290,0
"AK",2020-12-28,6172,259,16,126,0
"AK",2020-12-29,8410,572,1,175,0
"AK",2020-12-30,10040,596,1,385,0
"AK",2020-12-31,6189,413,5,495,0
"AK",2021-01-01,4745,256,1,0,0
"AK",2021-01-02,4160,264,6,801,0
"AK",2021-01-03,5696,323,6,290,0
"AK",2021-01-04,6928,447,4,260,0
"AK",2021-01-05,10686,545,7,194,0
"AK",2021-01-06,10822,527,8,328,0
"AK",2021-01-07,8776,420,13,326,0
"AK",2021-01-08,10213,465,6,403,0
"AK",2021-01-09,6536,355,3,311,0
"AK",2021-01-10,4890,232,5,250,0
"AK",2021-01-11,7717,394,5,173,0
"AK",2021-01-12,9273,361,13,0,0
"AK",2021-01-13,11115,445,15,406,0
"AK",2021-01-14,8839,339,11,332,0
"AK",2021-01-15,8131,425,9,300,0
"AK",2021-01-16,5801,201,7,182,0
"AK",2021-01-17,5166,245,9,279,0
"AK",2021-01-18,4951,234,22,151,0
"AK",2021-01-19,8100,398,10,125,0
"AK",2021-01-20,8789,276,11,160,0
"AK",2021-01-21,7897,287,4,209,0
"AK",2021-01-22,7678,261,7,263,0
"AK",2021-01-23,5464,186,7,241,0
"AK",2021-01-24,3467,116,3,165,0
"AK",2021-01-25,5371,175,4,83,0
"AK",2021-01-26,8925,248,9,85,0
"AK",2021-01-27,9675,234,20,173,0
"AK",2021-01-28,7968,279,7,199,0
"AK",2021-01-29,7250,205,6,185,0
"AK",2021-01-30,6011,238,4,135,0
"AK",2021-01-31,5045,150,6,128,0
"AK",2021-02-01,7066,259,9,70,0
"AK",2021-02-02,10607,261,8,107,0
"AK",2021-02-03,9261,317,5,181,0
"AK",2021-02-04,9900,337,10,158,0
"AK",2021-02-05,8938,235,14,165,0
"AK",2021-02-06,5086,182,5,0,0
"AK",2021-02-07,4415,145,14,0,0
"AK",2021-02-08,6412,185,9,415,0
"AK",2021-02-09,9132,237,6,115,0
"AK",2021-02-10,8675,186,2,182,0
"AK",2021-02-11,8652,230,3,143,0
"AK",2021-02-12,6718,170,2,148,0
"AK",2021-02-13,4632,116,5,0,0
"AK",2021-02-14,3727,90,9,0,0
"AK",2021-02-15,4926,148,47,0,0
"AK",2021-02-16,8144,224,8,454,0
"AK",2021-02-17,7778,186,14,63,0
"AK",2021-02-18,7685,181,11,210,0
"AK",2021-02-19,6307,152,6,189,0
"AK",2021-02-20,4814,135,2,0,0
"AK",2021-02-21,4473,104,6,0,0
"AK",2021-02-22,6101,143,9,309,0
"AK",2021-02-23,7947,184,9,53,0
"AK",2021-02-24,7914,241,9,176,0
"AK",2021-02-25,8282,156,7,150,0
"AK",2021-02-26,6668,163,9,103,0
"AK",2021-02-27,5033,125,8,0,0
"AK",2021-02-28,5231,127,19,0,0
"AK",2021-03-01,7296,151,24,350,0
"AK",2021-03-02,8844,214,6,89,0
"AK",2021-03-03,7505,151,8,177,0
"AK",2021-03-04,8144,174,15,140,0
"AK",2021-03-05,7550,133,1,141,0
"AK",2021-03-06,4636,128,7,0,0
"AK",2021-03-07,4444,122,20,0,0
"AK",2021-03-08,5119,127,25,NA,NA
"AK",2021-03-09,8186,193,6,NA,NA
"AK",2021-03-10,7627,152,8,NA,NA
"AK",2021-03-11,7619,162,1,NA,NA
"AK",2021-03-12,7743,162,12,NA,NA
"AK",2021-03-13,4951,137,12,NA,NA
"AK",2021-03-14,4742,100,3,NA,NA
"AK",2021-03-15,6884,149,7,NA,NA
"AK",2021-03-16,6605,160,2,NA,NA
"AK",2021-03-17,7229,175,6,NA,NA
"AK",2021-03-18,8231,173,20,NA,NA
"AK",2021-03-19,7649,172,11,NA,NA
"AK",2021-03-20,3524,90,8,NA,NA
"AK",2021-03-21,5260,183,20,NA,NA
"AK",2021-03-22,7592,216,7,NA,NA
"AK",2021-03-23,7992,244,4,NA,NA
"AK",2021-03-24,7632,154,7,NA,NA
"AK",2021-03-25,7824,252,22,NA,NA
"AK",2021-03-26,7707,189,5,NA,NA
"AK",2021-03-27,4597,250,11,NA,NA
"AK",2021-03-28,4982,157,18,NA,NA
"AK",2021-03-29,6614,151,25,NA,NA
"AK",2021-03-30,9087,251,17,NA,NA
"AK",2021-03-31,8322,256,26,NA,NA
"AK",2021-04-01,7733,195,15,NA,NA
"AK",2021-04-02,7293,215,22,NA,NA
"AK",2021-04-03,4374,156,16,NA,NA
"AK",2021-04-04,3942,145,9,NA,NA
"AK",2021-04-05,6437,173,17,NA,NA
"AK",2021-04-06,9434,282,16,NA,NA
"AK",2021-04-07,9318,260,17,NA,NA
"AK",2021-04-08,7872,238,33,NA,NA
"AK",2021-04-09,6984,164,9,NA,NA
"AK",2021-04-10,4267,117,6,NA,NA
"AK",2021-04-11,4990,183,12,NA,NA
"AK",2021-04-12,6617,188,26,NA,NA
"AK",2021-04-13,8096,255,19,NA,NA
"AK",2021-04-14,9139,219,18,NA,NA
"AK",2021-04-15,8288,211,47,NA,NA
"AK",2021-04-16,5560,220,27,NA,NA
"AK",2021-04-17,4199,168,7,NA,NA
"AK",2021-04-18,4029,140,30,NA,NA
"AK",2021-04-19,6441,215,35,NA,NA
"AK",2021-04-20,8492,270,15,NA,NA
"AK",2021-04-21,8169,214,29,NA,NA
"AK",2021-04-22,7295,211,21,NA,NA
"AK",2021-04-23,6560,195,7,NA,NA
"AK",2021-04-24,3598,126,13,NA,NA
"AK",2021-04-25,4143,115,13,NA,NA
"AK",2021-04-26,5836,164,20,NA,NA
"AK",2021-04-27,8348,208,10,NA,NA
"AK",2021-04-28,7817,182,15,NA,NA
"AK",2021-04-29,7011,137,35,NA,NA
"AK",2021-04-30,6039,119,3,NA,NA
"AK",2021-05-01,3921,94,8,NA,NA
"AK",2021-05-02,4053,107,5,NA,NA
"AK",2021-05-03,5534,140,9,NA,NA
"AK",2021-05-04,8403,181,3,NA,NA
"AK",2021-05-05,7212,121,2,NA,NA
"AK",2021-05-06,6993,114,6,NA,NA
"AK",2021-05-07,5476,107,6,NA,NA
"AK",2021-05-08,3515,74,5,NA,NA
"AK",2021-05-09,2517,43,4,NA,NA
"AK",2021-05-10,6080,83,9,NA,NA
"AK",2021-05-11,6519,108,5,NA,NA
"AK",2021-05-12,6615,103,2,NA,NA
"AK",2021-05-13,5572,80,5,NA,NA
"AK",2021-05-14,3980,63,5,NA,NA
"AK",2021-05-15,3143,67,7,NA,NA
"AK",2021-05-16,2656,69,10,NA,NA
"AK",2021-05-17,6060,95,3,NA,NA
"AK",2021-05-18,6143,81,8,NA,NA
"AK",2021-05-19,5930,83,4,NA,NA
"AK",2021-05-20,5360,62,9,NA,NA
"AK",2021-05-21,4402,52,2,NA,NA
"AK",2021-05-22,2694,34,2,NA,NA
"AK",2021-05-23,2826,25,5,NA,NA
"AK",2021-05-24,4456,74,7,NA,NA
"AK",2021-05-25,5600,49,4,NA,NA
"AK",2021-05-26,5002,43,5,NA,NA
"AK",2021-05-27,4298,56,4,NA,NA
"AK",2021-05-28,3786,46,15,NA,NA
"AK",2021-05-29,2735,39,9,NA,NA
"AK",2021-05-30,2546,32,7,NA,NA
"AK",2021-05-31,2668,33,1,NA,NA
"AK",2021-06-01,5306,57,8,NA,NA
"AK",2021-06-02,5180,52,10,NA,NA
"AK",2021-06-03,3935,36,5,NA,NA
"AK",2021-06-04,3943,35,4,NA,NA
"AK",2021-06-05,2422,14,2,NA,NA
"AK",2021-06-06,3260,21,0,NA,NA
"AK",2021-06-07,8855,94,19,NA,NA
"AK",2021-06-08,12331,73,18,NA,NA
"AK",2021-06-09,16332,124,21,NA,NA
"AK",2021-06-10,14461,98,11,NA,NA
"AK",2021-06-11,16017,144,15,NA,NA
"AK",2021-06-12,8725,91,4,NA,NA
"AK",2021-06-13,6953,88,14,NA,NA
"AK",2021-06-14,11656,109,14,NA,NA
"AK",2021-06-15,6211,74,8,NA,NA
"AK",2021-06-16,2063,20,2,NA,NA
"AK",2021-06-17,1085,22,1,NA,NA
"AK",2021-06-18,818,19,0,NA,NA
"AK",2021-06-19,626,4,0,NA,NA
"AK",2021-06-20,510,3,0,NA,NA
"AK",2021-06-21,527,13,0,NA,NA
"AL",2020-03-01,96,16,NA,NA,NA
"AL",2020-03-02,72,6,NA,NA,NA
"AL",2020-03-03,94,9,NA,NA,NA
"AL",2020-03-04,0,2,NA,NA,NA
"AL",2020-03-05,61,6,NA,NA,NA
"AL",2020-03-06,12,4,NA,NA,NA
"AL",2020-03-07,20,4,NA,0,0
"AL",2020-03-08,94,17,NA,0,0
"AL",2020-03-09,58,5,NA,0,0
"AL",2020-03-10,84,8,NA,0,0
"AL",2020-03-11,124,36,NA,0,10
"AL",2020-03-12,75,14,NA,0,0
"AL",2020-03-13,227,11,1,1,1
"AL",2020-03-14,421,13,0,5,11
"AL",2020-03-15,603,53,0,6,6
"AL",2020-03-16,397,30,0,16,0
"AL",2020-03-17,877,50,0,8,0
"AL",2020-03-18,1017,32,0,10,0
"AL",2020-03-19,819,52,4,22,0
"AL",2020-03-20,1055,94,1,13,0
"AL",2020-03-21,1484,56,1,43,0
"AL",2020-03-22,944,99,3,14,1436
"AL",2020-03-23,1746,278,3,29,201
"AL",2020-03-24,2385,238,1,48,441
"AL",2020-03-25,2242,230,2,68,423
"AL",2020-03-26,2006,218,13,223,1064
"AL",2020-03-27,2303,266,2,81,591
"AL",2020-03-28,1499,213,2,109,0
"AL",2020-03-29,1405,123,9,110,0
"AL",2020-03-30,2026,293,6,53,1510
"AL",2020-03-31,2186,295,0,122,604
"AL",2020-04-01,1532,267,2,96,399
"AL",2020-04-02,1794,366,0,156,806
"AL",2020-04-03,2823,490,3,199,684
"AL",2020-04-04,1370,275,1,148,1086
"AL",2020-04-05,2262,319,0,216,2009
"AL",2020-04-06,2091,283,22,172,1515
"AL",2020-04-07,2353,441,16,151,0
"AL",2020-04-08,2585,497,31,250,3956
"AL",2020-04-09,3608,547,33,400,1305
"AL",2020-04-10,3384,425,18,199,0
"AL",2020-04-11,2359,293,26,223,0
"AL",2020-04-12,1974,178,3,334,0
"AL",2020-04-13,2274,318,13,209,7390
"AL",2020-04-14,2546,360,7,142,3793
"AL",2020-04-15,2853,399,6,237,723
"AL",2020-04-16,2682,357,3,232,2082
"AL",2020-04-17,7998,710,11,185,1272
"AL",2020-04-18,2864,271,3,125,4565
"AL",2020-04-19,768,185,3,182,2992
"AL",2020-04-20,2084,299,7,188,0
"AL",2020-04-21,2363,342,7,206,2420
"AL",2020-04-22,3852,545,16,234,0
"AL",2020-04-23,3832,444,23,313,3568
"AL",2020-04-24,2664,401,10,54,0
"AL",2020-04-25,3166,334,14,305,18344
"AL",2020-04-26,1157,158,4,133,2074
"AL",2020-04-27,1951,319,17,229,217
"AL",2020-04-28,15095,1027,8,188,1642
"AL",2020-04-29,3557,532,13,155,4467
"AL",2020-04-30,3517,532,22,177,6570
"AL",2020-05-01,4452,521,19,139,4598
"AL",2020-05-02,3060,433,20,276,0
"AL",2020-05-03,2602,280,12,291,0
"AL",2020-05-04,2710,357,15,300,10317
"AL",2020-05-05,5200,505,30,260,3389
"AL",2020-05-06,4276,493,24,296,2454
"AL",2020-05-07,5464,638,15,317,5340
"AL",2020-05-08,5747,641,62,323,4618
"AL",2020-05-09,4548,400,31,346,5034
"AL",2020-05-10,2639,231,7,210,1717
"AL",2020-05-11,3334,355,16,232,1791
"AL",2020-05-12,7256,762,28,301,3473
"AL",2020-05-13,6001,663,16,307,2847
"AL",2020-05-14,6022,689,13,351,5262
"AL",2020-05-15,6135,870,22,248,3830
"AL",2020-05-16,4752,524,9,307,7124
"AL",2020-05-17,4284,408,12,248,2608
"AL",2020-05-18,5418,586,67,315,458
"AL",2020-05-19,8588,773,4,290,153
"AL",2020-05-20,8815,969,12,368,6516
"AL",2020-05-21,6623,853,14,375,5914
"AL",2020-05-22,6532,774,11,444,6585
"AL",2020-05-23,6636,911,18,375,4533
"AL",2020-05-24,3505,370,6,389,2734
"AL",2020-05-25,4235,546,7,403,4113
"AL",2020-05-26,4533,503,1,666,2778
"AL",2020-05-27,7013,893,19,447,1588
"AL",2020-05-28,7038,1052,7,467,4220
"AL",2020-05-29,7223,1025,13,513,7889
"AL",2020-05-30,7242,911,10,536,2782
"AL",2020-05-31,4010,492,4,544,4808
"AL",2020-06-01,4194,633,5,460,5510
"AL",2020-06-02,7397,893,5,279,0
"AL",2020-06-03,8382,1000,6,209,7583
"AL",2020-06-04,7810,998,8,221,3484
"AL",2020-06-05,7947,1018,21,315,3859
"AL",2020-06-06,6746,860,13,656,5515
"AL",2020-06-07,4769,633,7,457,13465
"AL",2020-06-08,6435,838,10,425,0
"AL",2020-06-09,7476,864,18,497,7251
"AL",2020-06-10,9064,1280,16,567,4751
"AL",2020-06-11,8907,1170,17,856,4913
"AL",2020-06-12,9280,1316,13,865,6694
"AL",2020-06-13,7319,1215,28,891,5976
"AL",2020-06-14,3022,458,5,1014,3189
"AL",2020-06-15,6109,752,14,657,4562
"AL",2020-06-16,8707,1293,34,640,2110
"AL",2020-06-17,8732,1477,16,400,4899
"AL",2020-06-18,8742,1345,17,894,10917
"AL",2020-06-19,9223,1489,20,796,7995
"AL",2020-06-20,8545,1271,19,547,7651
"AL",2020-06-21,5050,722,6,472,4683
"AL",2020-06-22,5751,904,13,433,3999
"AL",2020-06-23,10082,1267,26,643,4285
"AL",2020-06-24,11189,1501,13,967,3754
"AL",2020-06-25,9964,1547,10,1142,9557
"AL",2020-06-26,12147,1912,6,977,7888
"AL",2020-06-27,11141,1690,10,900,4803
"AL",2020-06-28,5235,889,17,358,1896
"AL",2020-06-29,6851,1145,22,1734,5279
"AL",2020-06-30,10323,1414,12,870,12489
"AL",2020-07-01,15430,2247,27,917,6384
"AL",2020-07-02,11616,2023,35,1149,4626
"AL",2020-07-03,11555,2218,47,1754,9149
"AL",2020-07-04,9654,1858,19,997,10460
"AL",2020-07-05,4694,1115,11,1091,6707
"AL",2020-07-06,6362,1489,10,925,4284
"AL",2020-07-07,12459,1970,43,907,5362
"AL",2020-07-08,13430,2600,62,1177,5751
"AL",2020-07-09,11437,2344,85,2212,0
"AL",2020-07-10,15005,2885,55,1334,20378
"AL",2020-07-11,11538,2135,39,1439,8365
"AL",2020-07-12,10713,2218,43,1640,7846
"AL",2020-07-13,12075,2419,38,1958,6140
"AL",2020-07-14,12436,2500,34,1710,7775
"AL",2020-07-15,15183,2668,33,1812,10148
"AL",2020-07-16,12643,2801,40,2021,8039
"AL",2020-07-17,16131,3214,79,2003,10003
